肖申克的救赎,弗兰克·德拉邦特,1994/美国/犯罪,希望让人自由。
霸王别姬,陈凯歌,1993/中国大陆,中国香港/剧情,爱情,风华绝代。
阿甘正传,罗伯特·泽米吉斯,1994/美国/剧情,一部美国近现代史。
这个杀手不太冷,吕克·贝松,1994/法国,美国/剧情,动作,怪蜀黍和小萝莉不得不说的故事。
泰坦尼克号,詹姆斯·卡梅隆,1997/美国/剧情,爱情,失去的才是永恒的。
美丽人生,罗伯托·贝尼尼,1997/意大利/剧情,喜剧,爱情,最美的谎言。
千与千寻,宫崎骏,2001/日本/剧情,动画,最好的宫崎骏，最好的久石让。
辛德勒的名单,史蒂文·斯皮尔伯格,1993/美国/剧情,历史,拯救一个人，就是拯救整个世界。
盗梦空间,克里斯托弗·诺兰,2010/美国,英国/剧情,科幻,悬疑,诺兰给了我们一场无法盗取的梦。
忠犬八公的故事,莱塞·霍尔斯道姆,2009/美国,永远都不能忘记你所爱的人。
星际穿越,克里斯托弗·诺兰,2014/美国,英国,加拿大/剧情,科幻,爱是一种力量，让我们超越时空感知它的存在。
海上钢琴师,朱塞佩·托纳多雷,1998/意大利/剧情,每个人都要走一条自己坚定了的路，就算是粉身碎骨。
楚门的世界,彼得·威尔,1998/美国/剧情,如果再也不能见到你，祝你早安，午安，晚安。
三傻大闹宝莱坞,拉库马·希拉尼,2009/印度/剧情,喜剧,爱情,英俊版憨豆，高情商版谢耳朵。
机器人总动员,安德鲁·斯坦顿,2008/美国/科幻,动画,小瓦力，大人生。
放牛班的春天,克里斯托夫·巴拉蒂,2004/法国,瑞士,德国/剧情,天籁一般的童声，是最接近上帝的存在。
大话西游之大圣娶亲,刘镇伟,1995/中国香港,中国大陆/喜剧,爱情,奇幻,一生所爱。
疯狂动物城,拜伦·霍华德,2016/美国/喜剧,动画,迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。
熔炉,黄东赫,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。
无间道,刘伟强,2002/中国香港/剧情,犯罪,香港电影史上永不过时的杰作。
教父,弗朗西斯·福特·科波拉,1972/美国/剧情,千万不要记恨你的对手，这样会让你失去理智。
当幸福来敲门,加布里尔·穆奇诺,2006/美国/剧情,传记,平民励志片。
龙猫,宫崎骏,1988/日本/动画,奇幻,人人心中都有个龙猫，童年就永远不会消失。
怦然心动,罗伯·莱纳,2010/美国/剧情,喜剧,真正的幸福是来自内心深处。
触不可及,奥利维·那卡什,2011/法国/剧情,满满温情的高雅喜剧。
控方证人,比利·怀尔德,1957/美国/剧情,犯罪,比利·怀德满分作品。
蝙蝠侠：黑暗骑士,克里斯托弗·诺兰,2008/美国,英国/剧情,动作,科幻,犯罪,无尽的黑暗。
活着,张艺谋,1994/中国大陆,中国香港/剧情,历史,张艺谋最好的电影。
末代皇帝,贝纳尔多·贝托鲁奇,1987/英国,意大利,中国大陆,法国/剧情,传记,“不要跟我比惨，我比你更惨”再适合这部电影不过了。
寻梦环游记,李·昂克里奇,2017/美国/喜剧,动画,奇幻,死亡不是真的逝去，遗忘才是永恒的消亡。
乱世佳人,维克多·弗莱明,1939/美国/剧情,历史,爱情,Tomorrowisanotherday.
何以为家,娜丁·拉巴基,2018/黎巴嫩,法国,凝视卑弱生命，用电影改变命运。
指环王3：王者无敌,彼得·杰克逊,2003/美国,新西兰/剧情,动作,奇幻,史诗的终章。
摔跤吧！爸爸,涅提·蒂瓦里,2016/印度/剧情,传记,运动,你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。
飞屋环游记,彼特·道格特,2009/美国/剧情,喜剧,动画,最后那些最无聊的事情，才是最值得怀念的。
哈利·波特与魔法石,Chris,2001/美国,英国/奇幻,童话世界的开端。
少年派的奇幻漂流,李安,2012/美国,中国台湾,英国,加拿大/剧情,奇幻,瑰丽壮观、无人能及的冒险之旅。
素媛,李濬益,受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。
十二怒汉,Sidney,1957年的理想主义。
哈尔的移动城堡,宫崎骏,2004/日本/动画,奇幻,带着心爱的人在天空飞翔。
鬼子来了,姜文,2000/中国大陆/剧情,对敌人的仁慈，就是对自己残忍。
天空之城,宫崎骏,1986/日本/动画,奇幻,对天空的追逐，永不停止。
大话西游之月光宝盒,刘镇伟,1995/中国香港,中国大陆/喜剧,爱情,奇幻,旷古烁今。
我不是药神,文牧野,2018/中国大陆/剧情,对我们国家而言，这样的电影多一部是一部。
闻香识女人,马丁·布莱斯,史上最美的探戈。
罗马假日,威廉·惠勒,1953/美国/喜剧,剧情,爱情哪怕只有一天。
天堂电影院,朱塞佩·托纳多雷,1988/意大利,法国/剧情,那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。
辩护人,杨宇硕,电影的现实意义大过电影本身。
猫鼠游戏,史蒂文·斯皮尔伯格,2002/美国,加拿大/传记,犯罪,骗子大师和执著警探的你追我跑故事。
搏击俱乐部,大卫·芬奇,1999/美国,德国,意大利/剧情,动作,悬疑,邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。
大闹天宫,万籁鸣,1961(中国大陆),/,1964(中国大陆),/,1978(中国大陆),/,2004(中国大陆)/中国大陆/动画,经典之作，历久弥新。
教父2,弗朗西斯·福特·科波拉,1974/美国/剧情,优雅的孤独。
狮子王,Roger,1994/美国/动画,冒险,动物版《哈姆雷特》。
指环王2：双塔奇兵,彼得·杰克逊,2002/美国,新西兰/剧情,动作,奇幻,承前启后的史诗篇章。
死亡诗社,彼得·威尔,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。
钢琴家,罗曼·波兰斯基,2002/英国,法国,波兰,德国,美国/剧情,传记,战争,音乐能化解仇恨。
黑客帝国,安迪·沃卓斯基,1999/美国,澳大利亚/动作,视觉革命。
指环王1：魔戒再现,彼得·杰克逊,2001/新西兰,美国/剧情,动作,奇幻,传说的开始。
窃听风暴,弗洛里安·亨克尔·冯·多纳斯马尔克,2006/德国/剧情,别样人生。
饮食男女,李安,1994/中国台湾,美国/剧情,人生不能像做菜，把所有的料都准备好了才下锅。
美丽心灵,朗·霍华德,2001/美国/传记,爱是一切逻辑和原由。
让子弹飞,姜文,2010/中国大陆,中国香港/剧情,喜剧,动作,你给我翻译翻译，神马叫做TMD的惊喜。
两杆大烟枪,Guy,1998/英国/剧情,喜剧,4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。
绿皮书,彼得·法雷里,2018/美国,中国大陆/剧情,喜剧,去除成见，需要勇气。
本杰明·巴顿奇事,大卫·芬奇,2008/美国/剧情,爱情,在时间之河里感受溺水之苦。
飞越疯人院,米洛斯·福尔曼,自由万岁。
海蒂和爷爷,阿兰·葛斯彭纳,2015/德国,瑞士,南非/剧情,冒险,如果生活中有什么使你感到快乐，那就去做吧！不要管别人说什么。
看不见的客人,奥里奥尔·保罗,2016/西班牙/剧情,犯罪,悬疑,你以为你以为的就是你以为的。
西西里的美丽传说,朱塞佩·托纳多雷,2000/意大利,美国/剧情,战争,美丽无罪。
拯救大兵瑞恩,史蒂文·斯皮尔伯格,1998/美国/剧情,美利坚精神输出大片No1.
小鞋子,马基德·马基迪,1997/伊朗/剧情,儿童,奔跑的孩子是天使。
穿条纹睡衣的男孩,马克·赫尔曼,2008/英国,美国/剧情,尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。
音乐之声,罗伯特·怀斯,1965/美国/剧情,传记,爱情,用音乐化解仇恨，让歌声串起美好。
情书,岩井俊二,1995/日本/剧情,暗恋的极致。
海豚湾,路易·西霍尤斯,海豚的微笑，是世界上最高明的伪装。
美国往事,赛尔乔·莱翁内,1984/美国,意大利/犯罪,往事如烟，无处祭奠。
致命魔术,克里斯托弗·诺兰,2006/英国,美国/剧情,悬疑,孪生蝙蝠侠大战克隆金刚狼。
沉默的羔羊,乔纳森·戴米,1991/美国/剧情,犯罪,安东尼·霍普金斯的顶级表演。
低俗小说,昆汀·塔伦蒂诺,1994/美国/剧情,喜剧,故事的高级讲法。
禁闭岛,Martin,2010/美国/剧情,悬疑,昔日翩翩少年，今日大腹便便。
蝴蝶效应,埃里克·布雷斯,2004/美国,加拿大/剧情,悬疑,科幻,人的命运被自己瞬间的抉择改变。
七宗罪,大卫·芬奇,1995/美国/剧情,犯罪,悬疑,警察抓小偷，老鼠玩死猫。
心灵捕手,格斯·范·桑特,人生中应该拥有这样的一段豁然开朗。
布达佩斯大饭店,韦斯·安德森,2014/美国,德国,英国/剧情,喜剧,小清新的故事里注入了大历史的情怀。
春光乍泄,王家卫,1997/中国香港,日本,韩国/剧情,爱情,爱情纠缠，男女一致。
摩登时代,查理·卓别林,1936/美国/剧情,喜剧,大时代中的人生，小人物的悲喜。
被嫌弃的松子的一生,中岛哲也,2006/日本/剧情,以戏谑来戏谑戏谑。
阿凡达,詹姆斯·卡梅隆,2009/美国,英国/动作,科幻,绝对意义上的美轮美奂。
哈利·波特与死亡圣器(下),大卫·叶茨,2011/美国,英国/奇幻,10年的完美句点。
喜剧之王,周星驰,1999/中国香港/喜剧,剧情,我是一个演员。
剪刀手爱德华,蒂姆·波顿,1990/美国/剧情,奇幻,浪漫忧郁的成人童话。
致命ID,詹姆斯·曼高德,2003/美国/剧情,悬疑,最不可能的那个人永远是最可能的。
勇敢的心,梅尔·吉布森,1995/美国/动作,传记,剧情,历史,史诗大片的典范。
加勒比海盗,戈尔·维宾斯基,2003/美国/动作,冒险,约翰尼·德普的独角戏。
杀人回忆,奉俊昊,2003/韩国/剧情,动作,犯罪,悬疑,关于连环杀人悬案的集体回忆。
狩猎,托马斯·温特伯格,2012/丹麦,人言可畏。
天使爱美丽,让-皮埃尔·热内,2001/法国,德国/喜剧,法式小清新。
请以你的名字呼唤我,卢卡·瓜达尼诺,2017/意大利,法国,巴西,美国,荷兰,德国/剧情,爱情,沉醉在电影的情感和视听氛围中无法自拔。
断背山,李安,2005/美国,加拿大/剧情,爱情,同性,每个人心中都有一座断背山。
红辣椒,今敏,2006/日本/动画,悬疑,科幻,梦的勾结。
7号房的礼物,李焕庆,2013/韩国/剧情,喜剧,《我是山姆》的《美丽人生》。
幽灵公主,宫崎骏,1997/日本/动画,奇幻,人与自然的战争史诗。
小森林夏秋篇,森淳一,那些静得只能听见呼吸的日子里，你明白孤独即生活。
阳光灿烂的日子,姜文,1994/中国大陆,中国香港/剧情,一场华丽的意淫。
第六感,M·奈特·沙马兰,1999/美国/剧情,悬疑,深入内心的恐怖，出人意料的结局。
重庆森林,王家卫,1994/中国香港/剧情,寂寞没有期限。
入殓师,泷田洋二郎,死可能是一道门，逝去并不是终结，而是超越，走向下一程。
小森林冬春篇,森淳一,尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。
唐伯虎点秋香,李力持,1993/中国香港/喜剧,爱情,华太师是黄霑，吴镇宇四大才子之一。
爱在黎明破晓前,理查德·林克莱特,1995/美国,奥地利,瑞士/剧情,缘分是个连绵词，最美不过一瞬。
消失的爱人,大卫·芬奇,2014/美国/剧情,犯罪,悬疑,年度最佳datemovie。
一一,杨德昌,2000/中国台湾,日本/剧情,爱情,我们都曾经是一一。
超脱,托尼·凯耶,穷尽一生，我们要学会的，不过是彼此拥抱。
蝙蝠侠：黑暗骑士崛起,克里斯托弗·诺兰,2012/美国,英国/剧情,动作,科幻,犯罪,诺兰就是保证。
菊次郎的夏天,北野武,1999/日本/剧情,从没见过那么流氓的温柔，从没见过那么温柔的流氓。
侧耳倾听,近藤喜文,1995/日本/剧情,爱情,少女情怀总是诗。
倩女幽魂,程小东,1987/中国香港/爱情,奇幻,武侠,两张绝世的脸。
无人知晓,是枝裕和,我的平常生活就是他人的幸福。
超能陆战队,唐·霍尔,2014/美国/喜剧,动作,科幻,动画,Balalala~~~
功夫,周星驰,2004/中国大陆,中国香港/动作,喜剧,犯罪,警恶惩奸，维护世界和平这个任务就交给你了，好吗？
萤火之森,大森贵弘,2011/日本/剧情,爱情,动画,触不到的恋人。
甜蜜蜜,陈可辛,1996/中国香港/剧情,相逢只要一瞬间，等待却像是一辈子。
借东西的小人阿莉埃蒂,米林宏昌,2010/日本/动画,奇幻,曾经的那段美好会沉淀为一辈子的记忆。
玛丽和马克思,亚当·艾略特,2009/澳大利亚/剧情,喜剧,你是我最好的朋友，你是我唯一的朋友。
人生果实,伏原健之,土壤没有落叶不会肥沃，没有了你就不算人生。
驯龙高手,迪恩·德布洛斯,2010/美国/动画,奇幻,和谐的生活离不开摸头与被摸头。
爱在日落黄昏时,理查德·林克莱特,2004/美国,法国/剧情,九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。
告白,中岛哲也,2010/日本/剧情,没有一人完全善，也没有一人完全恶。
幸福终点站,史蒂文·斯皮尔伯格,2004/美国/喜剧,剧情,有时候幸福需要等一等。
完美的世界,克林特·伊斯特伍德,1993/美国/剧情,坏人的好总是比好人的好来得更感人。
大鱼,蒂姆·波顿,2003/美国/剧情,家庭,奇幻,抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。
阳光姐妹淘,姜炯哲,2011/韩国/剧情,再多各自牛逼的时光，也比不上一起傻逼的岁月。
射雕英雄传之东成西就,刘镇伟,1993/中国香港/喜剧,奇幻,武侠,百看不厌。
恐怖直播,金秉祐,2013/韩国/剧情,犯罪,恐怖分子的“秋菊打官司”。
哈利·波特与阿兹卡班的囚徒,Alfonso,2004/英国,美国/奇幻,不一样的导演，不一样的哈利·波特。
天书奇谭,王树忱,1983(中国大陆)/中国大陆/动画,传奇的年代，醉人的童话。
怪兽电力公司,彼特·道格特,2001/美国/儿童,喜剧,动画,奇幻,不要给它起名字，起了名字就有感情了。
神偷奶爸,皮艾尔·柯芬,2010/美国,法国/喜剧,动画,Mr.IDon'tCare其实也有Care的时候。
玩具总动员3,李·昂克里奇,2010/美国/喜剧,动画,奇幻,跨度十五年的欢乐与泪水。
傲慢与偏见,乔·怀特,2005/法国,英国,美国/剧情,爱是摈弃傲慢与偏见之后的曙光。
时空恋旅人,理查德·柯蒂斯,2013/英国/喜剧,爱情,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。
教父3,弗朗西斯·福特·科波拉,1990/美国/剧情,任何信念的力量，都无法改变命运。
哈利·波特与密室,Chris,2002/美国,英国,德国/奇幻,魔法的密室之门已打开...
血战钢锯岭,梅尔·吉布森,2016/澳大利亚,美国/剧情,传记,历史,优秀的战争片不会美化战场，不会粉饰死亡，不会矮化敌人，不会无视常识，最重要的，不会宣扬战争。
釜山行,延尚昊,2016/韩国/动作,惊悚,揭露人性的丧尸题材力作。
哪吒闹海,严定宪,1979/中国大陆/冒险,动画,想你时你在闹海。
被解救的姜戈,昆汀·塔伦蒂诺,2012/美国/剧情,动作,西部,热血沸腾，那个低俗、性感的无耻混蛋又来了。
风之谷,宫崎骏,1984/日本/动画,奇幻,动画片的圣经。
七武士,黑泽明,1954/日本/动作,冒险,时代悲歌。
喜宴,李安,1993/中国台湾,美国/剧情,喜剧,爱情,同性,中国家庭的喜怒哀乐忍。
电锯惊魂,詹姆斯·温,2004/美国/悬疑,惊悚,真相就在眼前。
一个叫欧维的男人决定去死,汉内斯·赫尔姆,惠及一生的美丽。
我是山姆,杰茜·尼尔森,2001/美国/剧情,爱并不需要智商。
英雄本色,吴宇森,1986/中国香港/剧情,动作,英雄泪短，兄弟情长。
上帝之城,费尔南多·梅里尔斯,2002/巴西,法国/犯罪,被上帝抛弃了的上帝之城。
头号玩家,史蒂文·斯皮尔伯格,2018/美国/动作,科幻,写给影迷，动漫迷和游戏迷的一封情书。
谍影重重3,保罗·格林格拉斯,2007/美国,德国/动作,悬疑,像吃了苏打饼一样干脆的电影。
疯狂原始人,科克·德·米科,2013/美国/喜剧,动画,老少皆宜，这就是好莱坞动画的魅力。
岁月神偷,罗启锐,2010/中国香港,中国大陆/剧情,岁月流逝，来日可追。
未麻的部屋,今敏,1997/日本/动画,奇幻,好的剧本是，就算你猜到了结局也猜不到全部。
纵横四海,吴宇森,1991/中国香港/剧情,喜剧,动作,香港浪漫主义警匪动作片的巅峰之作。
卢旺达饭店,特瑞·乔治,2004/英国,南非,意大利/剧情,传记,历史,当这个世界闭上双眼，他却敞开了怀抱。
三块广告牌,马丁·麦克唐纳,2017/美国,英国/剧情,怼天怼地，你走后，她与世界为敌。
达拉斯买家俱乐部,让-马克·瓦雷,2013/美国/剧情,传记,JaredLeto的腿比女人还美！
花样年华,王家卫,2000/中国香港/剧情,偷情本没有这样美。
心迷宫,忻钰坤,2014/中国大陆/剧情,犯罪,荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。
记忆碎片,克里斯托弗·诺兰,2000/美国/犯罪,剧情,悬疑,一个针管引发的血案。
黑客帝国3：矩阵革命,Andy,2003/美国,澳大利亚/动作,不得不说，《黑客帝国》系列是商业片与科幻、哲学完美结合的典范。
模仿游戏,莫滕·泰杜姆,2014/英国,美国/剧情,传记,战争,他给机器起名“克里斯托弗”，因为这是他初恋的名字。
新世界,朴勋政,2013/韩国/剧情,要做就做得狠一点，这样才能活下去。
你的名字。,新海诚,2016/日本/剧情,爱情,穿越错位的时空，仰望陨落的星辰，你没留下你的名字，我却无法忘记那句“我爱你”。
荒蛮故事,达米安·斯兹弗隆,2014/阿根廷,西班牙/剧情,喜剧,始于荒诞，止于更荒诞。
真爱至上,理查德·柯蒂斯,2003/英国,美国,法国/喜剧,剧情,爱，是个动词。
忠犬八公物语,Seijirô,养狗三日，便会对你终其一生。
头脑特工队,彼特·道格特,2015/美国/喜剧,动画,愿我们都不用长大，每一座城堡都能永远存在。
爆裂鼓手,达米恩·查泽雷,2014/美国/剧情,这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。
萤火虫之墓,高畑勋,1988/日本/动画,剧情,幸福是生生不息，却难以触及的远。
贫民窟的百万富翁,丹尼·鲍尔,2008/英国/剧情,上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁
东邪西毒,王家卫,1994/中国香港,中国台湾/剧情,动作,爱情,武侠,电影诗。
黑天鹅,达伦·阿罗诺夫斯基,2010/美国/剧情,黑暗之美。
海街日记,是枝裕和,2015/日本/剧情,是枝裕和的家庭习作。
惊魂记,阿尔弗雷德·希区柯克,1960/美国/悬疑,惊悚,故事的反转与反转，分裂电影的始祖。
无敌破坏王,瑞奇·莫尔,2012/美国/喜剧,动画,奇幻,迪士尼和皮克斯拿错剧本的产物。
你看起来好像很好吃,藤森雅也,2010/日本/剧情,动画,感情不分食草或者食肉。
冰川时代,卡洛斯·沙尔丹哈,2002/美国/喜剧,动画,松鼠才是角儿。
雨人,巴瑞·莱文森,生活在自己的世界里，也可以让周围的人显得可笑和渺小。
小偷家族,是枝裕和,2018/日本/剧情,犯罪,我们组成了家。
恋恋笔记本,尼克·卡索维茨,2004/美国/剧情,爱情没有那么多借口，如果不能圆满，只能说明爱的不够。
绿里奇迹,Frank,1999/美国/犯罪,剧情,奇幻,天使暂时离开。
爱在午夜降临前,理查德·林克莱特,2013/美国,希腊/剧情,所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。
疯狂的石头,宁浩,2006/中国大陆,中国香港/喜剧,中国版《两杆大烟枪》。
恐怖游轮,克里斯托弗·史密斯,2009/英国,澳大利亚/剧情,悬疑,不要企图在重复中寻找已经失去的爱。
奇迹男孩,斯蒂芬·卓博斯基,2017/美国,中国香港/剧情,儿童,世界不完美，爱会有奇迹。
哈利·波特与火焰杯,迈克·内威尔,2005/英国,美国/悬疑,奇幻,世界不完美，爱会有奇迹。
雨中曲,斯坦利·多南,1952/美国/喜剧,歌舞,骨灰级歌舞片。
魔女宅急便,宫崎骏,1989/日本/动画,奇幻,宫崎骏的电影总让人感觉世界是美好的，阳光明媚的。
二十二,郭柯,有一些东西不应该被遗忘。
海边的曼彻斯特,肯尼斯·罗纳根,2016/美国/剧情,我们都有权利不与自己的过去和解。
房间,伦尼·阿伯拉罕森,2015/爱尔兰,加拿大,英国,美国/剧情,被偷走的岁月，被伤害的生命，被禁锢的灵魂，终将被希望和善意救赎。
虎口脱险,杰拉尔·乌里,1966/法国,英国/喜剧,永远看不腻的喜剧。
人工智能,史蒂文·斯皮尔伯格,2001/美国,英国/剧情,对爱的执着，可以超越一切。
寄生虫,奉俊昊,2019/韩国/剧情,对爱的执着，可以超越一切。
罗生门,黑泽明,1950/日本/剧情,犯罪,人生的N种可能性。
可可西里,陆川,2004/中国大陆,中国香港/剧情,坚硬的信仰。
2001太空漫游,斯坦利·库布里克,1968/英国,美国/科幻,惊悚,现代科幻电影的开山之作，最伟大导演的最伟大影片。
九品芝麻官,王晶,1994/中国香港,中国大陆/剧情,喜剧,现代科幻电影的开山之作，最伟大导演的最伟大影片。
终结者2：审判日,詹姆斯·卡梅隆,1991/美国,法国/动作,少见的超越首部的续集，动作片中的经典。
色，戒,李安,2007/中国台湾,中国大陆,美国,中国香港/剧情,爱情,假戏真情，爱欲深海
初恋这件小事,普特鹏·普罗萨卡·那·萨克那卡林,2010/泰国/剧情,喜剧,黑小鸭速效美白记。
城市之光,Charles,1931/美国/喜剧,剧情,永远的小人物，伟大的卓别林。
魂断蓝桥,茂文·勒鲁瓦,1940/美国/剧情,爱情,中国式内在的美国电影。
牯岭街少年杀人事件,杨德昌,1991/中国台湾/剧情,弱者送给弱者的一刀。
遗愿清单,罗伯·莱纳,2007/美国/冒险,喜剧,用剩余不多的时间，去燃烧整个生命。
大佛普拉斯,黄信尧,2017/中国台湾/剧情,人们可以登上月球，却永远无法探索人们内心的宇宙。
新龙门客栈,李惠民,1992/中国香港,中国大陆/动作,爱情,武侠,嬉笑怒骂，调风动月。
海洋,雅克·贝汉,2009/法国,瑞士,西班牙,美国,大海啊，不全是水。
源代码,邓肯·琼斯,2011/美国,加拿大/科幻,悬疑,邓肯·琼斯继《月球》之后再度奉献出一部精彩绝伦的科幻佳作。
青蛇,徐克,1993/中国香港,中国大陆/剧情,爱情,奇幻,人生如此，浮生如斯。谁人言，花彼岸，此生情长意短。谁都是不懂爱的罢了。
燃情岁月,爱德华·兹威克,1994/美国/剧情,爱情,战争,传奇，不是每个人都可以拥有。
无耻混蛋,Quentin,2009/德国,美国/剧情,昆汀同学越来越变态了，比北野武还杜琪峰。
波西米亚狂想曲,布莱恩·辛格,2018/英国,美国/剧情,传记,同性,昆汀同学越来越变态了，比北野武还杜琪峰。
血钻,爱德华·兹威克,2006/美国,德国,英国/剧情,惊悚,每个美丽事物背后都是滴血的现实。
疯狂的麦克斯4：狂暴之路,乔治·米勒,2015/澳大利亚,南非,美国/动作,科幻,“多么美好的一天！”轰轰轰砰咚，啪哒哒哒轰隆隆，磅~
穿越时空的少女,细田守,2006/日本/剧情,爱情,科幻,爱上未来的你。
步履不停,是枝裕和,2008/日本/剧情,日本的家庭电影已经是世界巅峰了，步履不停是巅峰中的佳作。
阿飞正传,王家卫,1990/中国香港/犯罪,剧情,王家卫是一种风格，张国荣是一个代表。
谍影重重2,保罗·格林格拉斯,2004/美国,德国/动作,悬疑,谁说王家卫镜头很晃？
地球上的星星,阿米尔·汗,2007/印度/剧情,儿童,天使保护事件始末。
彗星来的那一夜,詹姆斯·沃德·布柯特,2013/美国,英国/科幻,悬疑,小成本大魅力。
完美陌生人,保罗·格诺维瑟,2016/意大利/剧情,来啊，互相伤害啊！
战争之王,安德鲁·尼科尔,2005/美国,法国/剧情,做一颗让别人需要你的棋子。
香水,汤姆·提克威,2006/德国,法国,西班牙,美国/剧情,犯罪,一个单凭体香达到高潮的男人。
谍影重重,道格·里曼,2002/美国,德国,捷克/动作,悬疑,哗啦啦啦啦，天在下雨，哗啦啦啦啦，云在哭泣……找自己。
朗读者,史蒂芬·戴德利,2008/美国,德国/剧情,当爱情跨越年龄的界限，它似乎能变得更久远一点，成为一种责任，一种水到渠成的相濡以沫。
东京物语,小津安二郎,1953/日本/剧情,东京那么大，如果有一天走失了，恐怕一辈子不能再相见。
千钧一发,安德鲁·尼科尔,1997/美国/剧情,科幻,一部能引人思考的科幻励志片。
再次出发之纽约遇见你,约翰·卡尼,2013/美国/喜剧,爱情,爱我就给我看你的播放列表。
猜火车,丹尼·博伊尔,1996/英国/剧情,不可猜的青春迷笛。
浪潮,丹尼斯·甘塞尔,2008/德国/剧情,世界离独裁只有五天。
东京教父,今敏,2003/日本/剧情,喜剧,世界离独裁只有五天。
黑客帝国2：重装上阵,Andy,2003/美国,澳大利亚/动作,一个精彩的世界观正在缓缓建立。
驴得水,周申,2016/中国大陆/剧情,过去的如果就让它过去了，未来只会越来越糟！
聚焦,托马斯·麦卡锡,2015/美国/剧情,新闻人的理性求真。
我爱你,秋昌民,2011/韩国/剧情,你要相信，这世上真的有爱存在，不管在什么年纪
无间道2,刘伟强,2003/中国香港/动作,犯罪,剧情,你要相信，这世上真的有爱存在，不管在什么年纪
小萝莉的猴神大叔,卡比尔·汗,2015/印度/剧情,喜剧,宝莱坞的萝莉与大叔。
追随,克里斯托弗·诺兰,1998/英国/犯罪,悬疑,诺兰的牛逼来源于内心散发出的恐惧。
崖上的波妞,宫崎骏,2008/日本/动画,奇幻,诺兰的牛逼来源于内心散发出的恐惧。
黑鹰坠落,雷德利·斯科特,2001/美国,英国/动作,历史,还原真实而残酷的战争。
一次别离,阿斯哈·法哈蒂,2011/伊朗,法国/剧情,只有有信仰的人才能说出事实真相。
